job_title,job_description
Software Engineer,"Design and develop software systems using data structures and algorithms. Write clean maintainable code. Collaborate with cross-functional teams. Participate in code reviews and system design discussions. Strong problem solving and debugging skills required."
Software Engineer,"Build scalable software solutions with a focus on system design and architecture. Experience with object oriented programming, design patterns, version control with git. Work in an agile team environment with continuous integration."
Software Engineer,"Develop high-quality software applications. Strong knowledge of data structures, algorithms, and software design principles. Experience with multiple programming languages. Participate in sprint planning and retrospectives."
Software Engineer,"Implement and maintain software applications meeting business requirements. Solid understanding of OOP, design patterns, and software architecture. Collaborate with product and design teams. Unit testing and documentation expected."
Software Engineer,"Write efficient and reliable code for complex software projects. Strong analytical and problem solving skills. Experience with software development lifecycle. Mentor junior engineers and contribute to technical architecture decisions."
ML Engineer,"Build and deploy machine learning models at production scale. Experience with Python, TensorFlow or PyTorch, and feature engineering. Design training pipelines and model evaluation frameworks. Work with large datasets and distributed computing."
ML Engineer,"Develop and maintain ML systems for production environments. Strong background in deep learning, NLP, and statistical modeling. Experience with MLOps tools and cloud platforms. Collaborate with data scientists and engineers."
ML Engineer,"Design end-to-end machine learning pipelines from data ingestion to model serving. Expert knowledge of neural networks and deep learning frameworks. Experience with model optimization and deployment using containers. Strong Python skills."
ML Engineer,"Research and implement machine learning algorithms for real-world applications. Experience with feature engineering, model selection, and hyperparameter tuning. Proficient in Python, scikit-learn, and deep learning frameworks. Data pipeline development experience."
ML Engineer,"Build ML infrastructure and tooling to accelerate model development. Experience with distributed training, model monitoring, and A/B testing. Strong background in statistics and machine learning theory. Cloud deployment experience required."
Backend Developer,"Develop and maintain REST APIs using Spring Boot and Java. Design database schemas and optimize SQL queries. Implement authentication and authorization mechanisms. Work with microservices architecture and message queues."
Backend Developer,"Build robust backend services using Node.js or Python frameworks. Experience with database design, API development, and cloud services. Implement security best practices including OAuth and JWT. Collaborate with frontend teams."
Backend Developer,"Design and implement scalable backend systems. Strong experience with relational and NoSQL databases. API development and integration skills. Experience with Docker and container orchestration. Code review and technical documentation."
Backend Developer,"Develop server-side applications with a focus on performance and reliability. Experience with Spring Boot, Django or Flask. Database optimization and migration management. Microservices architecture and event-driven design patterns."
Backend Developer,"Create and maintain backend infrastructure supporting high-traffic applications. Experience with caching strategies, load balancing, and CDN integration. Strong SQL skills and experience with both relational and document databases."
Data Analyst,"Analyze complex datasets to extract business insights using Python and SQL. Create interactive dashboards using Tableau or Power BI. Develop statistical reports and KPI tracking. Collaborate with stakeholders to define metrics and requirements."
Data Analyst,"Perform data analysis and create visualizations for business stakeholders. Experience with SQL, Python, Excel, and data visualization tools. Statistical analysis and reporting skills. Transform raw data into actionable insights and recommendations."
Data Analyst,"Mine and analyze large datasets to support business decision making. Strong SQL and Python skills with experience in pandas and numpy. Create dashboards and reports using Power BI or Tableau. Statistical knowledge and A/B testing experience."
Data Analyst,"Develop analytical solutions and reporting frameworks. Experience with data warehousing, ETL processes, and business intelligence tools. Strong Excel and SQL skills. Present findings to senior management and cross-functional teams."
Data Analyst,"Conduct exploratory data analysis and build predictive models. Experience with Python, R, and statistical methods. Create compelling data visualizations. Work closely with product teams to define and track key metrics."
DevOps Engineer,"Design and implement CI/CD pipelines using Jenkins or GitHub Actions. Manage Docker containers and Kubernetes clusters. Infrastructure as code with Terraform. Monitor systems using Prometheus and Grafana. Linux administration."
DevOps Engineer,"Automate infrastructure provisioning and deployment processes. Experience with AWS or Azure cloud platforms. Docker and Kubernetes orchestration. Implement monitoring and alerting solutions. Collaborate with development teams on deployment strategies."
DevOps Engineer,"Build and maintain scalable cloud infrastructure. Strong experience with Docker, Kubernetes, and CI/CD tools. Infrastructure as code using Terraform or CloudFormation. Security hardening and compliance automation. On-call support."
DevOps Engineer,"Manage cloud deployments and infrastructure reliability. Experience with multiple cloud platforms and containerization. Implement logging and monitoring frameworks. Automate operational tasks and improve deployment frequency."
DevOps Engineer,"Design resilient distributed systems infrastructure. Experience with service mesh, API gateways, and cloud-native technologies. Strong Linux and networking knowledge. Incident management and post-mortem processes."
Frontend Developer,"Build responsive web applications using React or Vue.js. Strong HTML5 and CSS3 skills including modern frameworks like Tailwind. Experience with TypeScript and state management. Collaborate with designers to implement pixel-perfect UIs."
Frontend Developer,"Develop user-facing web applications with a focus on performance and accessibility. Experience with React, Angular, or Vue. Strong JavaScript and TypeScript skills. Unit testing and end-to-end testing experience. Cross-browser compatibility."
Frontend Developer,"Create interactive and responsive web interfaces. Expert knowledge of HTML, CSS, and JavaScript frameworks. Experience with RESTful API integration and state management. UI/UX awareness and collaboration with design teams."
Frontend Developer,"Implement complex frontend features with modern JavaScript frameworks. Experience with webpack, babel, and build tools. Responsive design and mobile-first development. Code review, documentation, and mentoring junior developers."
Frontend Developer,"Build high-performance web applications using modern frontend technologies. Strong React or Angular experience with TypeScript. Accessibility and internationalization experience. Collaborate with backend teams on API design."
Full Stack Developer,"Design and implement both frontend and backend components of web applications. Experience with React or Vue on frontend and Node.js or Python on backend. Database design and API development. Cloud deployment experience."
Full Stack Developer,"Develop full-stack web applications from concept to deployment. Strong frontend skills in React with backend experience in Node.js or Django. Database management with both SQL and NoSQL. DevOps and CI/CD pipeline experience."
Full Stack Developer,"Build end-to-end web applications and features. Experience with modern frontend frameworks and backend technologies. API design and implementation. Database optimization and cloud deployment. Agile development practices."
Full Stack Developer,"Architect and build scalable web applications. Full stack experience with frontend frameworks and server-side technologies. Understanding of microservices, databases, and cloud platforms. Collaborate with product and design teams."
Full Stack Developer,"Develop and maintain web applications across the entire stack. Strong programming skills in JavaScript and Python. Experience with databases, APIs, and deployment. Mentor junior developers and contribute to technical decisions."
Data Scientist,"Develop statistical models and machine learning solutions for business problems. Strong Python and R skills with experience in scikit-learn and pandas. Data visualization and storytelling skills. Work with stakeholders to define analytical projects."
Data Scientist,"Apply machine learning and statistical techniques to large-scale data problems. Experience with deep learning, NLP, and recommendation systems. Strong programming skills in Python. Publish research findings and present to leadership."
Data Scientist,"Build predictive models and conduct hypothesis testing for business insights. Experience with Python, SQL, and big data technologies. Statistical analysis and experimental design. Collaborate with engineering teams for model deployment."
Data Scientist,"Research and implement advanced analytics solutions. Strong background in statistics, machine learning, and data mining. Experience with cloud-based data platforms. Communicate complex findings to non-technical stakeholders."
Data Scientist,"Design experiments and build machine learning models for product improvement. Experience with A/B testing, causal inference, and predictive modeling. Strong Python and SQL skills. Collaborate cross-functionally on data-driven decisions."
Product Manager,"Define product roadmaps and prioritize features based on user research and market analysis. Collaborate with engineering, design, and business teams. Experience with agile methodologies and product analytics. Strong communication skills."
Product Manager,"Own product strategy and execution for a key product area. Experience with user research, competitive analysis, and stakeholder management. Work with engineering teams to deliver features on time. Data-driven decision making."
Product Manager,"Drive product vision and strategy aligned with business goals. Experience with requirements gathering, user stories, and sprint planning. Collaborate with cross-functional teams. Strong analytical and communication skills."
Product Manager,"Manage product lifecycle from ideation to launch. Experience with product analytics, user research, and competitive intelligence. Work closely with engineering and design teams. Present product decisions to executive leadership."
Product Manager,"Define and execute product strategy for consumer-facing products. Strong background in agile, scrum, and product planning. User-centric thinking with data-driven approach. Stakeholder management and executive communication skills."
Mobile Developer,"Develop native mobile applications for iOS using Swift and Xcode. Experience with UIKit and SwiftUI frameworks. Integration with backend APIs and third-party SDKs. App Store deployment and release management."
Mobile Developer,"Build cross-platform mobile applications using React Native or Flutter. Experience with mobile backend integration and push notifications. UI performance optimization and testing. Publish apps to App Store and Google Play."
Mobile Developer,"Create high-performance Android applications using Kotlin and Android Studio. Experience with material design, Firebase integration, and offline capabilities. Collaborate with backend teams on API integration."
Mobile Developer,"Develop mobile applications with a focus on user experience and performance. Experience with native development frameworks. Mobile security best practices and data management. Cross-functional collaboration and agile development."
Mobile Developer,"Build and maintain mobile applications across iOS and Android platforms. Experience with React Native or native development. State management, navigation, and API integration. Mobile testing and deployment strategies."